name_id,2019:118,2019:217,2019:240,2019:134,2019:099,2019:184,2019:011,2019:067,2019:168,2019:557,2019:030,2019:033,2019:041,2019:036,2019:521,2019:029,2019:018,2019:014,2019:021,2019:025,2019:027,2019:023,2019:039,2019:013,2019:089,2019:129,2019:203,2019:207,2019:045,2019:208,2019:505,2019:056,2019:057,2019:070,2019:613,2019:053,2019:071,2019:088,2019:142,2019:242,2019:498,2019:514,2019:496,2019:122,2019:052,2019:049,2019:044,2019:510,2019:634,2019:493,2019:120,2019:058,2019:584,2019:064,2019:609,2019:151,2019:066,2019:075,2019:196,2019:214,2019:084,2019:437,2019:076,2019:077,2019:103,2019:119,2019:530,2019:642,2019:474,2019:158,2019:602,2019:104,2019:128,2019:515,2019:540,2019:228,2019:187,2019:188,2019:156,2019:138,2019:137,2019:544,2019:126,2019:167,2019:123,2019:186,2019:162,2019:516,2019:564,2019:170,2019:209,2019:241,2019:525,2019:218,2019:231,2019:477,2019:586,2019:202,2019:597,2019:546,2019:204,2019:556,2019:433,2019:578,2019:585,2019:473,2019:577,2019:431,2019:243,2019:244,2019:248,2019:428,2019:367,2019:475,2019:519,2019:233,2019:432,2019:408,2019:541,2019:611,2019:507,2019:333,2019:499,2019:424,2019:502,2019:414,2019:492,2019:552,2019:612,2019:567,2019:625,2019:554,2019:614,2019:511,2019:610,2019:535,2019:627,2019:538,2019:569,2019:570,2019:583,2019:626,2019:592,2019:624
A000374,-1,-1,-1,-1,-1,0,-1,1,0,1,1,1,1,1,0,0,1,1,-1,-1,0,-1,-1,1,0,1,0,0,0,0,-1,1,1,1,1,1,1,0,0,0,0,-1,0,0,1,0,0,-1,-1,0,0,1,1,-1,-1,1,1,1,0,0,1,-1,0,0,0,0,0,-1,1,0,-1,1,1,0,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,1,0,-1,0,0,1,1,1,1,-1,-1,-1,0,0,1,0,-1,0,0,0,1,0,0,1,-1,0,0,0,1,0,0,0,1,-1,-1,0,1,-1,1,0,1,0,1,1,-1,1,-1,-1
A000370,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A000055,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,0,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
A000371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A000372,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1
A000376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A000367,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1
A000369,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,0,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,-1
A000377,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,-1,-1,-1,1,0,-1,1,-1,-1,0,1,1,0,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,-1,0,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,0,1,1,-1
A000375,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,0,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,-1
